T_01,T_07,T_09,T_10,T_11,T_32,T_35,T_37,T_39,T_43,T_46,T_47,T_50,T_53,T_55,T_65,T_66,T_67,T_68,T_69,T_71,T_78,T_80,T_81,T_82,T_83,T_88,T_99,T_106,T_110,T_SC
5.28,0.4 ,1.04,1.38,0.23,11,0,0,27,0,2,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,4913.50 ,189.00 ,0.00 ,0,0,60.84
1.98,0.4 ,0.78,0.23,0.23,9,0,0,4,0,2,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,4362.00 ,169.00 ,0.00 ,0,0,50.4
6.6,0.6 ,0.78,1.38,0.92,9,0,0,46,0,1,0,1,0,0,0,0,0,0,1.04,0,0,0,0,1,6664.50 ,479.00 ,0.00 ,0,0,64.86
5.28,0.6 ,1.3,1.38,0.69,4,0,0,28,0,3,0,0,2,0,285,0,0,0,1.88,0,0,0,0,3,615.50 ,12.33 ,95.00 ,0,1,59.92
2.64,1.8 ,1.56,1.38,2.07,17,1,0,8,5,4,1,3,18,0,656,255,208,0,1.88,8.57,8,1,1,27,3523.50 ,668.67 ,373.00 ,1,1,64.1
4.62,1.4 ,2.6,2.3,2.3,207,1,1,20,3,14,3,9,38,0,0,468,0,0,1.25,1.08,5,1,1,47,53316.50 ,760.33 ,156.00 ,1,1,85.55
5.28,0.8 ,1.04,1.38,0.23,4,0,0,27,0,2,0,0,0,0,0,0,0,0,1.88,0,0,0,0,0,909.50 ,166.67 ,0.00 ,0,0,63.66
1.32,0.6 ,1.04,1.38,0.23,7,0,0,2,0,2,0,0,0,0,135,0,0,1.88,1.79,0,0,0,0,0,0.00 ,0.00 ,45.00 ,0,1,62.3
3.3,1.8 ,1.04,1.38,0.46,11,1,0,12,5,2,2,0,2,0,0,120,86,1.88,1.79,7.83,7,1,1,2,1711.00 ,38.67 ,68.67 ,1,1,70
1.32,0.4 ,0.52,0.46,0.46,4,0,0,3,0,1,0,0,1,0,0,0,0,0,1.88,0,0,0,0,1,81.00 ,-413.00 ,0.00 ,0,0,52.71
5.94,1.4 ,0.78,2.3,2.3,174,0,1,32,3,1,4,13,16,0,0,507,0,1.88,1.79,0,6,1,1,35,88294.00 ,-991.67 ,169.00 ,1,1,73.1
3.3,0.4 ,0.78,0.23,0.23,7,0,0,10,0,1,0,0,0,0,0,0,0,1.25,1.23,0,0,0,0,0,378.00 ,50.00 ,0.00 ,0,0,58.69
5.28,1.2 ,0.78,1.15,0.23,5,0,0,25,5,1,0,0,0,0,0,0,62,0,1.88,0,0,0,0,0,908.50 ,38.00 ,20.67 ,0,1,63.69
2.64,0.8 ,1.04,1.15,0.69,14,0,0,9,0,2,0,0,2,0,399,0,0,0,1.88,0,0,0,0,3,1386.00 ,-263.67 ,133.00 ,0,1,57.17
1.98,1.4 ,1.82,1.61,0.69,76,1,0,5,4,11,1,0,2,0,0,116,52,1.88,1.79,0.93,6,1,1,5,31557.50 ,3080.33 ,56.00 ,1,1,64.27
4.62,0.2 ,0.26,0.23,0.23,6,0,0,20,0,0,0,0,0,0,0,0,0,1.88,1.79,0,0,0,0,0,929.50 ,32.00 ,0.00 ,0,0,52.95
4.62,0.4 ,0.78,0.92,0.92,10,0,0,20,0,2,0,1,0,0,0,0,0,1.88,1.79,0,0,0,0,1,4641.50 ,336.00 ,0.00 ,0,0,64.2
