region,num_household_member,labor_income,business_income,property_income,other_income,income_tax_deduction,living_asset,basic_property_amt,debt,general_property,general_property_deduction,fin_property,fin_property_deduction,car,rec_amt_income,target_mul,target_yn
3,1,4271025,183333,0,500552,0,0,77000000,0,288444235,0,1063000,0,0,500552,1,1
2,1,0,0,0,541460,0,28500000,80000000,0,45000000,43439758,3981000,2520000,0,541460,1,1
3,1,750000,0,0,0,225000,19000000,77000000,4264000,0,0,66867000,15000000,0,525000,1,1
3,4,0,910000,0,0,273000,9500000,77000000,6922000,0,0,10653000,0,0,637000,4,1
3,3,0,0,0,0,0,3657500,77000000,0,0,0,10585000,2070000,0,0,3,1
3,2,1005290,0,0,403180,878682,0,77000000,0,87500000,0,113000,0,0,529788,2,1
3,1,1560640,16667,0,0,519897,2850000,77000000,100000,2800089,0,1021000,240000,0,1040743,0,0
3,1,22475922,3925000,0,453300,0,0,77000000,0,1724344650,0,6873000,0,0,453300,1,1
3,1,30126681,0,0,446810,320900,0,77000000,0,2240966312,0,6603000,0,0,5583058,0,0
3,1,6553171,416666,0,0,125000,0,77000000,0,288740449,0,12385000,0,0,291666,1,1
3,1,0,0,0,0,0,1330000,77000000,0,0,0,1520000,0,0,0,1,1
3,2,556560,0,0,100000,546968,950000,77000000,0,43844400,0,6425000,3450000,0,109592,2,1
3,1,0,0,0,563210,0,2042500,77000000,0,0,0,11866000,0,0,563210,1,1
3,1,1476956,0,0,456752,611137,0,77000000,0,0,0,2416000,1500000,0,112281,1,1
3,1,0,0,0,993900,380000,0,77000000,0,105035933,0,596000,0,0,613900,1,1
3,1,23336094,0,0,307500,0,193300000,77000000,0,75700000,0,2638000,0,0,307500,1,1
3,3,3020100,225000,0,0,523530,19950000,77000000,49230000,2487793,0,26218000,0,0,1221570,3,1
3,1,18623969,0,5000,300000,0,97799999,77000000,0,115100000,0,43166000,0,0,2910512,0,0
3,1,4864765,0,0,367440,0,0,77000000,0,58700000,0,5882000,650000,0,367440,1,1
3,1,0,0,0,654150,0,53900000,77000000,0,0,0,2084000,0,0,654150,1,1
3,1,0,0,0,560980,0,0,77000000,30000000,99686693,50000000,4904000,0,0,560980,1,1
3,2,360000,0,0,323180,108000,950000,77000000,0,0,0,21687000,0,0,575180,2,1
3,1,0,0,0,363180,40000,34300000,77000000,0,0,0,5574000,0,0,323180,1,1
3,1,0,0,0,469932,70000,0,77000000,0,0,0,1108000,0,0,399932,1,1
